180,KEEPR,,2.21,2.2,2.22,1.3,,,2024-12-19 23:04:15
181,KEP,"Keppel Philippines Properties, Inc.",2.85,2.9,17.48,2.31,285.00,,2024-12-19 23:04:15
182,KPH,"Keppel Philippines Holdings, Inc. ''A''",16.46,16.46,25.0,3.27,51.761,0.10 (0.61%),2024-12-19 23:04:15
183,KPHB,"Keppel Philippines Holdings, Inc. ''B''",20.7,20.7,29.0,6.01,86.25,,2024-12-19 23:04:15
184,KPPI,"Kepwealth Property Phils., Inc.",1.5,1.5,2.48,1.19,,,2024-12-19 23:04:15
185,LAND,"City and Land Developers, Inc.",0.69,0.69,0.89,0.65,5.75,0.09 (13.04%),2024-12-19 23:04:15
186,LBC,"LBC Express Holdings, Inc.",11.8,11.8,18.28,10.52,,,2024-12-19 23:04:15
187,LC,Lepanto Consolidated Mining Co. ''A'',0.064,0.065,0.094,0.058,0.804,,2024-12-19 23:04:15
188,LCB,Lepanto Consolidated Mining Co. ''B'',0.068,0.067,0.093,0.059,0.854,,2024-12-19 23:04:15
189,LFM,"Liberty Flour Mills, Inc.",18.8,13.3,19.78,12.0,32.982,0.90 (4.79%),2024-12-19 23:04:15
190,LMG,LMG Corp.,0.218,0.218,0.415,0.12,8.074,,2024-12-19 23:04:15
191,LODE,Lodestar Investment Hldgs Corp.,0.3,0.27,0.465,0.255,,,2024-12-19 23:04:15
192,LOTO,Pacific Online Systems Corporation,2.58,2.51,5.46,2.48,3.604,0.10 (3.88%),2024-12-19 23:04:15
193,LPC,,0.049,0.053,0.116,0.049,,,2024-12-19 23:04:15
194,LPZ,Lopez Holdings Corporation,2.75,2.75,4.5,2.74,2.148,0.10 (3.64%),2024-12-19 23:04:15
195,LSC,Lorenzo Shipping Corporation,0.96,0.96,1.06,0.455,3.692,,2024-12-19 23:04:15
196,LTG,"LT Group, Inc.",10.3,10.5,10.54,8.75,4.813,1.20 (11.65%),2024-12-19 23:04:15
197,MA,Manila Mining Corporation ''A'',0.003,0.003,0.0054,0.0029,150.00,,2024-12-19 23:04:15
198,MAB,Manila Mining Corporation ''B'',0.003,0.003,0.0054,0.003,150.00,,2024-12-19 23:04:15
199,MAC,Macroasia Corporation,5.15,5.1,7.81,3.87,7.254,0.05 (0.97%),2024-12-19 23:04:15
200,MACAY,"Macay Holdings, Inc.",7.52,7.52,8.5,5.1,,,2024-12-19 23:04:15
201,MAH,Metro Alliance Hold'gs and Eqts. ''A'',0.76,0.85,0.97,0.305,,,2024-12-19 23:04:15
202,MAHB,Metro Alliance Hold'gs and Eqts. ''B'',0.85,0.85,1.27,0.39,,,2024-12-19 23:04:15
203,MARC,"Marcventures Holdings, Inc.",0.65,0.67,1.1,0.58,50.00,,2024-12-19 23:04:15
